planSequence	executionPhase	qualification	examYear	sourceCategory	questionLabel	questionType	questionIntent	choiceCount	correctChoiceTextCount	explanationTextCount	sourceOrigin	isSiteSourced	firestoreQuestionIdCount	sourceQuestionKey	sourceConflictStatus	sourceContentConflictCount	sourceContentConflictFields	sourceUniqueKeys	reviewQuestionId	qualifiedReviewQuestionId	sourceFile
1	phase_1_kou_existing_firestore	gas-shunin-kou	2019	製造	問1	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:seizo:q01	none	0	[]	"[""gas-shunin:kou:2019:seizo:q01:s01"", ""gas-shunin:kou:2019:seizo:q01:s02"", ""gas-shunin:kou:2019:seizo:q01:s03"", ""gas-shunin:kou:2019:seizo:q01:s04"", ""gas-shunin:kou:2019:seizo:q01:s05""]"	firestore:chiefgasengineerlicense-A-40-1495,chiefgasengineerlicense-A-40-1496,chiefgasengineerlicense-A-40-1497,chiefgasengineerlicense-A-40-1498,chiefgasengineerlicense-A-40-1499	gas-shunin-kou:firestore:chiefgasengineerlicense-A-40-1495,chiefgasengineerlicense-A-40-1496,chiefgasengineerlicense-A-40-1497,chiefgasengineerlicense-A-40-1498,chiefgasengineerlicense-A-40-1499	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
2	phase_1_kou_existing_firestore	gas-shunin-kou	2019	供給	問10	flash_card	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:kyokyu:q10	none	0	[]	"[""gas-shunin:kou:2019:kyokyu:q10:s01"", ""gas-shunin:kou:2019:kyokyu:q10:s02"", ""gas-shunin:kou:2019:kyokyu:q10:s03"", ""gas-shunin:kou:2019:kyokyu:q10:s04"", ""gas-shunin:kou:2019:kyokyu:q10:s05""]"	firestore:chiefgasengineerlicense-gizyutu-koushu-2019-10-1,chiefgasengineerlicense-gizyutu-koushu-2019-10-2,chiefgasengineerlicense-gizyutu-koushu-2019-10-3,chiefgasengineerlicense-gizyutu-koushu-2019-10-4,chiefgasengineerlicense-gizyutu-koushu-2019-10-5	gas-shunin-kou:firestore:chiefgasengineerlicense-gizyutu-koushu-2019-10-1,chiefgasengineerlicense-gizyutu-koushu-2019-10-2,chiefgasengineerlicense-gizyutu-koushu-2019-10-3,chiefgasengineerlicense-gizyutu-koushu-2019-10-4,chiefgasengineerlicense-gizyutu-koushu-2019-10-5	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
3	phase_1_kou_existing_firestore	gas-shunin-kou	2019	供給	問11	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:kyokyu:q11	none	0	[]	"[""gas-shunin:kou:2019:kyokyu:q11:s01"", ""gas-shunin:kou:2019:kyokyu:q11:s02"", ""gas-shunin:kou:2019:kyokyu:q11:s03"", ""gas-shunin:kou:2019:kyokyu:q11:s04"", ""gas-shunin:kou:2019:kyokyu:q11:s05""]"	firestore:chiefgasengineerlicense-A-80-1541,chiefgasengineerlicense-A-80-1542,chiefgasengineerlicense-A-80-1543,chiefgasengineerlicense-A-80-1544,chiefgasengineerlicense-A-80-1545	gas-shunin-kou:firestore:chiefgasengineerlicense-A-80-1541,chiefgasengineerlicense-A-80-1542,chiefgasengineerlicense-A-80-1543,chiefgasengineerlicense-A-80-1544,chiefgasengineerlicense-A-80-1545	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
4	phase_1_kou_existing_firestore	gas-shunin-kou	2019	供給	問12	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:kyokyu:q12	none	0	[]	"[""gas-shunin:kou:2019:kyokyu:q12:s01"", ""gas-shunin:kou:2019:kyokyu:q12:s02"", ""gas-shunin:kou:2019:kyokyu:q12:s03"", ""gas-shunin:kou:2019:kyokyu:q12:s04"", ""gas-shunin:kou:2019:kyokyu:q12:s05""]"	firestore:chiefgasengineerlicense-A-80-1546,chiefgasengineerlicense-A-80-1547,chiefgasengineerlicense-A-80-1548,chiefgasengineerlicense-A-80-1549,chiefgasengineerlicense-A-80-1550	gas-shunin-kou:firestore:chiefgasengineerlicense-A-80-1546,chiefgasengineerlicense-A-80-1547,chiefgasengineerlicense-A-80-1548,chiefgasengineerlicense-A-80-1549,chiefgasengineerlicense-A-80-1550	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
5	phase_1_kou_existing_firestore	gas-shunin-kou	2019	供給	問13	flash_card	select_correct	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:kyokyu:q13	none	0	[]	"[""gas-shunin:kou:2019:kyokyu:q13:s01"", ""gas-shunin:kou:2019:kyokyu:q13:s02"", ""gas-shunin:kou:2019:kyokyu:q13:s03"", ""gas-shunin:kou:2019:kyokyu:q13:s04"", ""gas-shunin:kou:2019:kyokyu:q13:s05""]"	firestore:chiefgasengineerlicense-gizyutu-koushu-2019-13-1,chiefgasengineerlicense-gizyutu-koushu-2019-13-2,chiefgasengineerlicense-gizyutu-koushu-2019-13-3,chiefgasengineerlicense-gizyutu-koushu-2019-13-4,chiefgasengineerlicense-gizyutu-koushu-2019-13-5	gas-shunin-kou:firestore:chiefgasengineerlicense-gizyutu-koushu-2019-13-1,chiefgasengineerlicense-gizyutu-koushu-2019-13-2,chiefgasengineerlicense-gizyutu-koushu-2019-13-3,chiefgasengineerlicense-gizyutu-koushu-2019-13-4,chiefgasengineerlicense-gizyutu-koushu-2019-13-5	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
6	phase_1_kou_existing_firestore	gas-shunin-kou	2019	供給	問14	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:kyokyu:q14	none	0	[]	"[""gas-shunin:kou:2019:kyokyu:q14:s01"", ""gas-shunin:kou:2019:kyokyu:q14:s02"", ""gas-shunin:kou:2019:kyokyu:q14:s03"", ""gas-shunin:kou:2019:kyokyu:q14:s04"", ""gas-shunin:kou:2019:kyokyu:q14:s05""]"	firestore:chiefgasengineerlicense-A-80-1552,chiefgasengineerlicense-A-80-1553,chiefgasengineerlicense-A-80-1554,chiefgasengineerlicense-A-80-1555,chiefgasengineerlicense-A-80-1556	gas-shunin-kou:firestore:chiefgasengineerlicense-A-80-1552,chiefgasengineerlicense-A-80-1553,chiefgasengineerlicense-A-80-1554,chiefgasengineerlicense-A-80-1555,chiefgasengineerlicense-A-80-1556	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
7	phase_1_kou_existing_firestore	gas-shunin-kou	2019	供給	問15	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:kyokyu:q15	none	0	[]	"[""gas-shunin:kou:2019:kyokyu:q15:s01"", ""gas-shunin:kou:2019:kyokyu:q15:s02"", ""gas-shunin:kou:2019:kyokyu:q15:s03"", ""gas-shunin:kou:2019:kyokyu:q15:s04"", ""gas-shunin:kou:2019:kyokyu:q15:s05""]"	firestore:chiefgasengineerlicense-A-80-1557,chiefgasengineerlicense-A-80-1558,chiefgasengineerlicense-A-80-1559,chiefgasengineerlicense-A-80-1560,chiefgasengineerlicense-A-80-1561	gas-shunin-kou:firestore:chiefgasengineerlicense-A-80-1557,chiefgasengineerlicense-A-80-1558,chiefgasengineerlicense-A-80-1559,chiefgasengineerlicense-A-80-1560,chiefgasengineerlicense-A-80-1561	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
8	phase_1_kou_existing_firestore	gas-shunin-kou	2019	供給	問16	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:kyokyu:q16	none	0	[]	"[""gas-shunin:kou:2019:kyokyu:q16:s01"", ""gas-shunin:kou:2019:kyokyu:q16:s02"", ""gas-shunin:kou:2019:kyokyu:q16:s03"", ""gas-shunin:kou:2019:kyokyu:q16:s04"", ""gas-shunin:kou:2019:kyokyu:q16:s05""]"	firestore:chiefgasengineerlicense-A-80-1562,chiefgasengineerlicense-A-80-1563,chiefgasengineerlicense-A-80-1564,chiefgasengineerlicense-A-80-1565,chiefgasengineerlicense-A-80-1566	gas-shunin-kou:firestore:chiefgasengineerlicense-A-80-1562,chiefgasengineerlicense-A-80-1563,chiefgasengineerlicense-A-80-1564,chiefgasengineerlicense-A-80-1565,chiefgasengineerlicense-A-80-1566	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
9	phase_1_kou_existing_firestore	gas-shunin-kou	2019	供給	問17	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:kyokyu:q17	none	0	[]	"[""gas-shunin:kou:2019:kyokyu:q17:s01"", ""gas-shunin:kou:2019:kyokyu:q17:s02"", ""gas-shunin:kou:2019:kyokyu:q17:s03"", ""gas-shunin:kou:2019:kyokyu:q17:s04"", ""gas-shunin:kou:2019:kyokyu:q17:s05""]"	firestore:chiefgasengineerlicense-A-80-1567,chiefgasengineerlicense-A-80-1568,chiefgasengineerlicense-A-80-1569,chiefgasengineerlicense-A-80-1570,chiefgasengineerlicense-A-80-1571	gas-shunin-kou:firestore:chiefgasengineerlicense-A-80-1567,chiefgasengineerlicense-A-80-1568,chiefgasengineerlicense-A-80-1569,chiefgasengineerlicense-A-80-1570,chiefgasengineerlicense-A-80-1571	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
10	phase_1_kou_existing_firestore	gas-shunin-kou	2019	供給	問18	true_false	select_incorrect	5	5	5	firestore_snapshot	False	5	gas-shunin:kou:2019:kyokyu:q18	none	0	[]	"[""gas-shunin:kou:2019:kyokyu:q18:s01"", ""gas-shunin:kou:2019:kyokyu:q18:s02"", ""gas-shunin:kou:2019:kyokyu:q18:s03"", ""gas-shunin:kou:2019:kyokyu:q18:s04"", ""gas-shunin:kou:2019:kyokyu:q18:s05""]"	firestore:chiefgasengineerlicense-A-80-1572,chiefgasengineerlicense-A-80-1573,chiefgasengineerlicense-A-80-1574,chiefgasengineerlicense-A-80-1575,chiefgasengineerlicense-A-80-1576	gas-shunin-kou:firestore:chiefgasengineerlicense-A-80-1572,chiefgasengineerlicense-A-80-1573,chiefgasengineerlicense-A-80-1574,chiefgasengineerlicense-A-80-1575,chiefgasengineerlicense-A-80-1576	output/gas-shunin-kou/questions_json/2019/00_source/question_2019_firestore_1.json
